date,time,road,speed
26,22,3500007900-3500007500,36
27,20,3500008000-3500007900,31
27,21,3500008000-3500007900,34
27,22,3500008000-3500007900,37
27,20,3500007900-3500007500,31
27,21,3500007900-3500007500,34
27,22,3500007900-3500007500,37
28,20,3500008000-3500007900,31
28,21,3500008000-3500007900,32
28,22,3500008000-3500007900,36
28,20,3500007900-3500007500,31
28,21,3500007900-3500007500,32
28,22,3500007900-3500007500,36
29,20,3500008000-3500007900,35
29,21,3500008000-3500007900,36
29,22,3500008000-3500007900,38
29,20,3500007900-3500007500,35
29,21,3500007900-3500007500,36
29,22,3500007900-3500007500,38
30,20,3500008000-3500007900,35
30,21,3500008000-3500007900,37
30,22,3500008000-3500007900,38
30,20,3500007900-3500007500,35
30,21,3500007900-3500007500,37
30,22,3500007900-3500007500,38
1,20,3510000300-3510000250,39
1,21,3510000300-3510000250,44
1,22,3510000300-3510000250,46
1,20,3510000250-3510000200,39
1,21,3510000250-3510000200,44
1,22,3510000250-3510000200,46
3,20,3510000300-3510000250,37
3,21,3510000300-3510000250,40
3,22,3510000300-3510000250,44
3,20,3510000250-3510000200,37
3,21,3510000250-3510000200,40
3,22,3510000250-3510000200,44
4,20,3510000300-3510000250,37
4,21,3510000300-3510000250,39
4,22,3510000300-3510000250,43
4,20,3510000250-3510000200,37
4,21,3510000250-3510000200,39
4,22,3510000250-3510000200,43
5,20,3510000300-3510000250,38
5,21,3510000300-3510000250,40
5,22,3510000300-3510000250,44
5,20,3510000250-3510000200,38
5,21,3510000250-3510000200,40
5,22,3510000250-3510000200,44
6,20,3510000300-3510000250,33
6,21,3510000300-3510000250,41
6,22,3510000300-3510000250,43
6,20,3510000250-3510000200,33
6,21,3510000250-3510000200,41
6,22,3510000250-3510000200,43
7,20,3510000300-3510000250,32
