date,time,road,speed
16,11,3500007700-3500081900,38
16,12,3500007700-3500081900,39
16,13,3500007700-3500081900,36
16,14,3500007700-3500081900,0
16,15,3500007700-3500081900,36
16,16,3500007700-3500081900,37
16,17,3500007700-3500081900,36
16,18,3500007700-3500081900,35
16,19,3500007700-3500081900,35
16,20,3500007700-3500081900,38
16,21,3500007700-3500081900,42
16,22,3500007700-3500081900,42
16,23,3500007700-3500081900,43
17,0,3500007700-3500056400,45
17,1,3500007700-3500056400,47
17,2,3500007700-3500056400,48
17,3,3500007700-3500056400,49
17,4,3500007700-3500056400,47
17,5,3500007700-3500056400,46
17,6,3500007700-3500056400,39
17,7,3500007700-3500056400,23
17,8,3500007700-3500056400,31
17,9,3500007700-3500056400,36
17,10,3500007700-3500056400,33
17,11,3500007700-3500056400,34
17,12,3500007700-3500056400,36
17,13,3500007700-3500056400,37
17,14,3500007700-3500056400,0
17,15,3500007700-3500056400,36
17,16,3500007700-3500056400,37
17,17,3500007700-3500056400,37
17,18,3500007700-3500056400,34
17,19,3500007700-3500056400,38
17,20,3500007700-3500056400,41
17,21,3500007700-3500056400,41
17,22,3500007700-3500056400,43
17,23,3500007700-3500056400,45
17,0,3500007700-3500081900,45
17,1,3500007700-3500081900,47
17,2,3500007700-3500081900,48
17,3,3500007700-3500081900,49
17,4,3500007700-3500081900,47
17,5,3500007700-3500081900,46
17,6,3500007700-3500081900,39
17,7,3500007700-3500081900,23
17,8,3500007700-3500081900,31
17,9,3500007700-3500081900,36
17,10,3500007700-3500081900,33
17,11,3500007700-3500081900,34
17,12,3500007700-3500081900,36
17,13,3500007700-3500081900,37
17,14,3500007700-3500081900,0
17,15,3500007700-3500081900,36
17,16,3500007700-3500081900,37
17,17,3500007700-3500081900,37
17,18,3500007700-3500081900,34
17,19,3500007700-3500081900,38
17,20,3500007700-3500081900,41
17,21,3500007700-3500081900,41
17,22,3500007700-3500081900,43
17,23,3500007700-3500081900,45
18,0,3500007700-3500056400,46
18,1,3500007700-3500056400,46
18,2,3500007700-3500056400,47
18,3,3500007700-3500056400,47
18,4,3500007700-3500056400,46
18,5,3500007700-3500056400,45
18,6,3500007700-3500056400,41
18,7,3500007700-3500056400,30
18,8,3500007700-3500056400,32
18,9,3500007700-3500056400,36
18,10,3500007700-3500056400,37
18,11,3500007700-3500056400,36
18,12,3500007700-3500056400,36
18,13,3500007700-3500056400,35
18,14,3500007700-3500056400,0
18,15,3500007700-3500056400,33
18,16,3500007700-3500056400,37
18,17,3500007700-3500056400,38
18,18,3500007700-3500056400,36
18,19,3500007700-3500056400,36
18,20,3500007700-3500056400,37
18,21,3500007700-3500056400,41
18,22,3500007700-3500056400,44
18,23,3500007700-3500056400,47
18,0,3500007700-3500081900,46
18,1,3500007700-3500081900,46
18,2,3500007700-3500081900,47
